"transcript","sampleA","sampleB","logFC","logCPM","PValue","FDR","HG_rep1","HG_rep2","HG_rep3","LG_rep1","LG_rep2","LG_rep3","Expression"
"TRINITY_DN3012_c0_g1_i8","RAZ_BM","RAZ_SM",-1.93086373738264,8.08550249369127,4.77651801855278e-05,0.0099572307815543,87.972,125.513,97.254,302.301,189.477,703.503,"Downregulated"
"TRINITY_DN1884_c0_g1_i1","RAZ_BM","RAZ_SM",-1.47488370078264,5.92691708627354,4.85203808250607e-05,0.0100764929748166,22.177,11.425,21.272,48.679,51.823,52.781,"Downregulated"
"TRINITY_DN2572_c0_g1_i1","RAZ_BM","RAZ_SM",-2.41128094217661,4.93339769920329,4.87163147413039e-05,0.0100791491183192,2.932,12.017,12.964,80.306,52.597,17.366,"Downregulated"
"TRINITY_DN14185_c0_g1_i1","RAZ_BM","RAZ_SM",-1.72977038126868,6.24704213446868,4.9559628548508e-05,0.010215223211755,17.176,6.519,19.422,60.912,42.793,39.887,"Downregulated"
"TRINITY_DN12024_c0_g1_i1","RAZ_BM","RAZ_SM",-1.72271239919193,3.02351957329257,4.99975597052758e-05,0.0102670361970901,1.237,3.15,3.73,9.431,10.686,6.983,"Downregulated"
"TRINITY_DN7478_c0_g2_i6","RAZ_BM","RAZ_SM",-1.44443155196798,4.96561017674119,5.10777525502101e-05,0.0104498625793616,6.592,6.653,7.798,20.764,23.556,13.507,"Downregulated"
"TRINITY_DN47990_c0_g1_i4","RAZ_BM","RAZ_SM",-3.32189643175558,2.38086217878656,5.17996669915475e-05,0.0105583069378253,18.154,10.528,7.884,207.619,150.122,6.309,"Downregulated"
"TRINITY_DN25747_c0_g2_i2","RAZ_BM","RAZ_SM",-2.94320638557398,0.629205932012624,5.25320671118635e-05,0.0106611263364761,0.187,0,0.742,2.415,1.391,3.706,"Downregulated"
"TRINITY_DN1515_c0_g1_i5","RAZ_BM","RAZ_SM",-1.46443835310391,4.03314407044989,5.2691542746693e-05,0.0106611263364761,13.953,6.929,12.665,31.846,28.924,31.995,"Downregulated"
"TRINITY_DN66746_c0_g1_i5","RAZ_BM","RAZ_SM",-1.75130435395267,2.61695964159333,5.28994654511414e-05,0.0106639896763301,2.745,6.118,4.145,16.781,18.051,9.28,"Downregulated"
"TRINITY_DN2479_c0_g1_i1","RAZ_BM","RAZ_SM",-2.07337974918485,7.33264755330444,5.30978709739197e-05,0.0106649205517471,68.321,25.37,138.999,408.024,308.491,261.187,"Downregulated"
"TRINITY_DN2300_c0_g1_i2","RAZ_BM","RAZ_SM",1.46881452277472,6.13905093235816,5.43124516785954e-05,0.0108692053297448,26.919,16.398,15.325,6.336,7.111,7.953,"Upregulated"
"TRINITY_DN30_c0_g1_i3","RAZ_BM","RAZ_SM",-1.84113672377989,2.72231480708061,5.47962583775634e-05,0.0108843768112665,2.766,0.697,2.506,8.761,6.2,6.728,"Downregulated"
"TRINITY_DN69_c0_g1_i4","RAZ_BM","RAZ_SM",-2.64348314552789,1.64383697955456,5.4900997821387e-05,0.0108843768112665,2.537,0.124,0.472,7.277,7.101,5.339,"Downregulated"
"TRINITY_DN32808_c0_g2_i6","RAZ_BM","RAZ_SM",-1.57403313562967,3.87817269093185,5.49815887184668e-05,0.0108843768112665,1.549,2.93,3.248,5.583,9.315,8.331,"Downregulated"
"TRINITY_DN790_c1_g1_i5","RAZ_BM","RAZ_SM",-2.95397188009506,1.2822343685929,5.53534909250935e-05,0.010918724084486,0.499,0.659,0,3.868,4.888,1.164,"Downregulated"
"TRINITY_DN9374_c0_g1_i1","RAZ_BM","RAZ_SM",-1.6887740293122,5.98164599909618,5.59216357488722e-05,0.0109669199138015,40.269,18.889,26.67,89.768,56.926,131.227,"Downregulated"
"TRINITY_DN10626_c0_g1_i8","RAZ_BM","RAZ_SM",-2.36621829163735,1.98307875389074,5.61373318089315e-05,0.0109669199138015,0.977,0.067,1.523,4.496,3.193,5.676,"Downregulated"
"TRINITY_DN16433_c0_g1_i4","RAZ_BM","RAZ_SM",-2.66592328716821,0.547758118699348,5.61956502469748e-05,0.0109669199138015,0.468,0.239,0.569,2.969,1.332,4.124,"Downregulated"
"TRINITY_DN36753_c0_g1_i8","RAZ_BM","RAZ_SM",-2.8480510533818,1.14310580999154,5.76425350631316e-05,0.011209538073019,0.333,0,0.983,2.29,2.165,5.247,"Downregulated"
"TRINITY_DN71598_c3_g1_i1","RAZ_BM","RAZ_SM",-1.63244231358796,2.12831203835867,5.84072395916762e-05,0.0112680870740612,1.081,0.639,1.224,3.743,2.625,2.889,"Downregulated"
"TRINITY_DN31699_c0_g1_i3","RAZ_BM","RAZ_SM",-2.13921174318256,5.13120114128808,5.84929002806574e-05,0.0112680870740612,1.466,5.021,9.947,26.42,26.387,19.908,"Downregulated"
"TRINITY_DN43120_c0_g1_i1","RAZ_BM","RAZ_SM",-1.71294709810163,2.86534673649077,5.88012751359242e-05,0.0112680870740612,6.197,2.816,8.26,22.73,13.36,20.796,"Downregulated"
"TRINITY_DN1636_c0_g2_i1","RAZ_BM","RAZ_SM",-1.86673690758823,5.67967506945612,5.89209085696088e-05,0.0112680870740612,86.578,20.683,66.102,233.401,170.074,225.915,"Downregulated"
"TRINITY_DN3422_c0_g1_i2","RAZ_BM","RAZ_SM",-2.27997141351453,7.26664415090957,5.89673488630595e-05,0.0112680870740612,66.366,9.507,72.444,265.07,210.281,243.424,"Downregulated"
"TRINITY_DN54456_c1_g1_i1","RAZ_BM","RAZ_SM",-2.33602765254236,0.511514009327946,5.93259788940475e-05,0.0112973907351384,0.104,0.143,0.202,0.753,0.95,0.582,"Downregulated"
"TRINITY_DN34843_c0_g1_i1","RAZ_BM","RAZ_SM",-2.1868528764538,0.880991038504769,5.98091010101721e-05,0.0113454270106785,1.487,0.554,0.52,3.67,4.525,3.675,"Downregulated"
"TRINITY_DN349_c0_g2_i2","RAZ_BM","RAZ_SM",1.65011024106061,2.25152348171186,5.99905378512818e-05,0.0113454270106785,4.18,2.997,4.896,1.736,1.234,0.888,"Upregulated"
"TRINITY_DN149774_c0_g1_i1","RAZ_BM","RAZ_SM",-1.5541412148266,4.39477171470002,6.06625354045649e-05,0.0114332259364891,13.787,7.264,18.805,41.005,40.667,35.68,"Downregulated"
"TRINITY_DN1038_c3_g1_i12","RAZ_BM","RAZ_SM",-7.15548653161809,0.0340469931292322,6.16394765614847e-05,0.011577702911552,0,0,0,0,2.507,1.787,"Downregulated"
"TRINITY_DN1740_c1_g1_i5","RAZ_BM","RAZ_SM",-1.42046154726358,6.54805224398431,6.19805847587622e-05,0.0116021751755569,13.714,12.389,15.952,37.91,47.7,27.942,"Downregulated"
"TRINITY_DN1682_c2_g4_i1","RAZ_BM","RAZ_SM",-1.76321408784903,3.28672936568928,6.26575477775851e-05,0.0116891372352258,6.353,10.194,10.227,24.559,49.482,17.662,"Downregulated"
"TRINITY_DN1293_c2_g1_i2","RAZ_BM","RAZ_SM",-3.96054107567607,-0.341273321446261,6.37525660599154e-05,0.0118532389207479,0,0.363,0,1.631,2.047,2.175,"Downregulated"
"TRINITY_DN9115_c0_g1_i4","RAZ_BM","RAZ_SM",-1.61892226844,3.62754727169741,6.44354554229604e-05,0.011939868194435,1.497,3.379,1.629,5.499,7.845,6.973,"Downregulated"
"TRINITY_DN1118_c1_g1_i9","RAZ_BM","RAZ_SM",-1.82235659657188,4.60398037610604,6.47426292549458e-05,0.0119565297262305,31.92,9.812,40.868,111.714,83.284,96.332,"Downregulated"
"TRINITY_DN2432_c1_g2_i1","RAZ_BM","RAZ_SM",-2.71851566886026,1.07504030472128,6.50914479707822e-05,0.0119807449753312,0,1.05,0.598,1.871,4.153,5.176,"Downregulated"
"TRINITY_DN57138_c0_g1_i1","RAZ_BM","RAZ_SM",-3.90659885691794,0.343975682640921,6.53099037505266e-05,0.0119808841433549,0.811,1.623,0.761,25.103,23.889,2.583,"Downregulated"
"TRINITY_DN23558_c0_g1_i2","RAZ_BM","RAZ_SM",-1.68583972829459,2.13328938936237,6.74477747612124e-05,0.0123319629109919,2.963,1.565,1.581,7.444,7.503,4.911,"Downregulated"
"TRINITY_DN32179_c0_g1_i1","RAZ_BM","RAZ_SM",-1.67141585322347,3.44247440625825,6.8743569534862e-05,0.0124880997813099,6.706,2.281,6.333,20.795,13.252,14.997,"Downregulated"
"TRINITY_DN156367_c0_g1_i1","RAZ_BM","RAZ_SM",-1.4971618768494,4.28782766437585,6.88143243639252e-05,0.0124880997813099,11.167,5.908,10.68,27.048,20.05,31.648,"Downregulated"
"TRINITY_DN2895_c0_g1_i11","RAZ_BM","RAZ_SM",-1.54814524688137,3.34122519458879,6.89824896158411e-05,0.0124880997813099,4.71,3.646,5.841,18.934,14.153,8.759,"Downregulated"
"TRINITY_DN3643_c0_g1_i7","RAZ_BM","RAZ_SM",-2.15247545529492,2.41118801630751,7.06621033460828e-05,0.0127493685697584,3.774,0.515,1.619,7.653,11.558,6.891,"Downregulated"
"TRINITY_DN12239_c0_g1_i2","RAZ_BM","RAZ_SM",-1.50034771887948,3.91453106866253,7.10600183563539e-05,0.0127493685697584,8.172,4.095,7.412,24.089,15.24,16.722,"Downregulated"
"TRINITY_DN30392_c0_g1_i2","RAZ_BM","RAZ_SM",-3.04099734979215,0.118317324576925,7.11206917708296e-05,0.0127493685697584,0.385,0.439,0.386,3.419,2.674,5.145,"Downregulated"
"TRINITY_DN10590_c1_g1_i5","RAZ_BM","RAZ_SM",-1.84071087183139,3.73108252391694,7.17348986053088e-05,0.012817722109885,1.164,3.207,4.925,12.149,13.517,7.953,"Downregulated"
"TRINITY_DN12018_c0_g1_i2","RAZ_BM","RAZ_SM",-1.43482910568055,3.03395620883476,7.40458245215357e-05,0.0131878249408356,14.629,9.907,9.774,38.893,27.209,27.289,"Downregulated"
"TRINITY_DN8149_c0_g1_i4","RAZ_BM","RAZ_SM",-2.34429242043351,2.211684324357,7.44139380348591e-05,0.0131886044935848,0.354,0.086,0.954,1.788,1.89,3.471,"Downregulated"
"TRINITY_DN84980_c0_g1_i2","RAZ_BM","RAZ_SM",-1.75545629164898,2.97074212406172,7.45294908148574e-05,0.0131886044935848,2.911,0.811,3.239,7.82,6.739,9.045,"Downregulated"
"TRINITY_DN14735_c0_g1_i7","RAZ_BM","RAZ_SM",-1.90239484970507,1.41970959506716,7.60582984003509e-05,0.0133957848701548,0.728,0.496,1.494,3.272,3.262,3.788,"Downregulated"
"TRINITY_DN29678_c0_g1_i1","RAZ_BM","RAZ_SM",-1.900179290005,1.86206374044031,7.61870964196395e-05,0.0133957848701548,2.267,0.649,1.32,6.974,4.476,4.553,"Downregulated"
"TRINITY_DN1840_c0_g1_i15","RAZ_BM","RAZ_SM",-1.48298456928494,6.04666806684556,7.7253308838058e-05,0.0135399955369226,15.658,8.142,15.431,45.104,29.208,36.109,"Downregulated"
"TRINITY_DN1345_c0_g1_i1","RAZ_BM","RAZ_SM",1.90337503547017,3.12504198982197,7.7539325560208e-05,0.0135469817234301,44.355,45.919,38.15,3.597,19.276,11.291,"Upregulated"
"TRINITY_DN739_c0_g1_i2","RAZ_BM","RAZ_SM",-1.39234676823054,7.73990936369726,7.81234369994921e-05,0.0136058393412343,87.649,80.958,103.5,310.749,194.981,214.644,"Downregulated"
"TRINITY_DN10509_c0_g1_i4","RAZ_BM","RAZ_SM",-1.43987126143439,3.45550176538567,8.21000690872732e-05,0.0142121088544202,7.029,4.286,4.665,15.536,11.166,17.253,"Downregulated"
"TRINITY_DN9095_c0_g1_i6","RAZ_BM","RAZ_SM",2.78548920324529,4.5339172006398,8.21210636280411e-05,0.0142121088544202,9.077,50.806,5.812,1.871,5.083,2.807,"Upregulated"
"TRINITY_DN25371_c0_g3_i2","RAZ_BM","RAZ_SM",-1.55343812800651,5.8124713947918,8.34145543086703e-05,0.0143907102878475,16.365,6.452,15.653,40.388,36.446,36.599,"Downregulated"
"TRINITY_DN19020_c0_g2_i1","RAZ_BM","RAZ_SM",-1.79800948806074,5.84015137063843,8.39895775921705e-05,0.0144446325412735,16.885,4.887,16.164,52.433,31.215,48.697,"Downregulated"
"TRINITY_DN742_c0_g1_i4","RAZ_BM","RAZ_SM",-1.57193062309217,4.02084703589557,8.63481022582236e-05,0.0147786247722414,21.242,9.831,14.419,53.457,29.227,52.923,"Downregulated"
"TRINITY_DN14465_c2_g1_i2","RAZ_BM","RAZ_SM",-1.70336344008773,3.91569863401712,8.64686771207204e-05,0.0147786247722414,3.681,1.374,3.894,9.922,6.494,12.914,"Downregulated"
"TRINITY_DN6830_c0_g1_i1","RAZ_BM","RAZ_SM",-1.71069401384365,3.1821467716783,8.69121024424386e-05,0.0147802794061157,2.849,1.193,2.689,8.626,4.221,9.3,"Downregulated"
"TRINITY_DN9198_c1_g1_i1","RAZ_BM","RAZ_SM",-3.2006457261531,0.57617972976737,8.70154909252732e-05,0.0147802794061157,0,0.334,0.945,6.587,4.76,1.113,"Downregulated"
"TRINITY_DN13491_c0_g1_i2","RAZ_BM","RAZ_SM",-1.64869819546238,4.38765678574952,8.84037003738301e-05,0.0149242284268138,11.115,3.675,9.012,28.208,18.894,27.871,"Downregulated"
"TRINITY_DN31699_c0_g3_i1","RAZ_BM","RAZ_SM",-2.33403195444164,1.70925526831521,8.85023199947104e-05,0.0149242284268138,0.062,0.601,1.263,3.398,3.898,2.562,"Downregulated"
"TRINITY_DN12156_c0_g1_i1","RAZ_BM","RAZ_SM",-1.40550182999983,4.52590093214207,8.86765035354166e-05,0.0149242284268138,49.314,36.069,62.709,110.428,127.173,152.839,"Downregulated"
"TRINITY_DN77341_c0_g1_i1","RAZ_BM","RAZ_SM",1.47189489964456,3.00390189495576,8.89515540483723e-05,0.0149248775167626,66.719,34.075,44.27,17.627,18.404,16.018,"Upregulated"
"TRINITY_DN60533_c0_g1_i15","RAZ_BM","RAZ_SM",-2.78787562648961,1.24870583158869,8.92457935124325e-05,0.0149287325232924,0,0.048,0.347,0.826,0.989,1.011,"Downregulated"
"TRINITY_DN8762_c0_g1_i8","RAZ_BM","RAZ_SM",-1.59360744354434,4.78805655501162,9.12978616500139e-05,0.0152077874788615,8.422,4.238,11.123,30.435,17.944,23.736,"Downregulated"
"TRINITY_DN6041_c2_g1_i1","RAZ_BM","RAZ_SM",-1.88327916742386,4.20208443178111,9.14666870571491e-05,0.0152077874788615,4.928,11.11,7.451,21.245,50.09,16.447,"Downregulated"
"TRINITY_DN36379_c0_g1_i1","RAZ_BM","RAZ_SM",-1.49865312669485,3.69099144142456,9.17476226728189e-05,0.015208550199325,6.488,3.847,3.798,16.279,9.06,15.007,"Downregulated"
"TRINITY_DN65444_c0_g1_i2","RAZ_BM","RAZ_SM",-1.73805700163957,3.61467722355138,9.22164310268272e-05,0.0152403575529442,9.254,3.159,13.581,29.703,29.962,26.972,"Downregulated"
"TRINITY_DN57570_c0_g2_i1","RAZ_BM","RAZ_SM",1.39236825074538,3.79197385420087,9.25328584699775e-05,0.0152468662665771,36.682,61.63,44.058,19.457,16.68,18.376,"Upregulated"
"TRINITY_DN11291_c0_g1_i1","RAZ_BM","RAZ_SM",-1.47549161118386,6.62943100300691,9.31563931222499e-05,0.0153037878778803,8.12,12.523,11.99,28.051,41.304,22.45,"Downregulated"
"TRINITY_DN3875_c0_g1_i13","RAZ_BM","RAZ_SM",-1.47001514688957,2.59189123479444,9.35031790203918e-05,0.0153150415303817,2.204,2.224,3.113,8.845,5.632,6.564,"Downregulated"
"TRINITY_DN10463_c0_g1_i9","RAZ_BM","RAZ_SM",-1.53153524276277,2.18028709611705,9.39281389649928e-05,0.0153389946581585,1.383,1.413,1.928,3.868,4.368,5.595,"Downregulated"
"TRINITY_DN11661_c0_g1_i1","RAZ_BM","RAZ_SM",1.44163644901393,4.47130250883251,9.52782639901118e-05,0.0155134437290882,47.88,66.087,40.203,15.306,18.688,23.256,"Upregulated"
"TRINITY_DN15009_c0_g1_i1","RAZ_BM","RAZ_SM",-1.85979944830177,3.16655053593277,9.69535230115008e-05,0.0157201383041699,2.495,0.84,3.451,10.047,4.907,9.862,"Downregulated"
"TRINITY_DN4023_c0_g1_i1","RAZ_BM","RAZ_SM",-2.13100582855452,0.544900855408766,9.72987613869388e-05,0.0157201383041699,1.102,0.849,0.665,4.151,3.546,4.247,"Downregulated"
"TRINITY_DN77075_c0_g2_i8","RAZ_BM","RAZ_SM",-1.90627607311812,2.52030385813637,9.74046437061078e-05,0.0157201383041699,9.981,3.274,10.882,34.91,15.995,39.162,"Downregulated"
"TRINITY_DN19397_c0_g1_i1","RAZ_BM","RAZ_SM",-2.22055211070519,2.11753681316073,9.77310586450054e-05,0.0157266990686235,2.745,0.353,4.974,16.049,10.549,11.291,"Downregulated"
"TRINITY_DN4861_c0_g1_i20","RAZ_BM","RAZ_SM",1.80690221968757,1.99131407463764,9.96293374586926e-05,0.0159546291214975,6.103,2.854,2.969,1.453,0.882,1.031,"Upregulated"
"TRINITY_DN2061_c0_g1_i1","RAZ_BM","RAZ_SM",-1.53222755599644,8.27841067949039,9.97273034450548e-05,0.0159546291214975,304.537,122.859,238.643,687.731,550.702,691.354,"Downregulated"
"TRINITY_DN82290_c0_g1_i4","RAZ_BM","RAZ_SM",-3.08573298927932,-0.0455014958019204,0.000100190914684176,0.0159823385470405,0.094,0.286,0.087,1.307,1.548,1.368,"Downregulated"
"TRINITY_DN8842_c0_g2_i1","RAZ_BM","RAZ_SM",-1.94077436358697,7.30989579463122,0.000101803241331658,0.0161559479088257,50.749,11.186,44.347,143.236,96.046,169.408,"Downregulated"
"TRINITY_DN2403_c0_g3_i1","RAZ_BM","RAZ_SM",-1.49569411577344,5.78525918369045,0.000101866372140177,0.0161559479088257,9.794,11.597,8.598,31.481,37.161,17.029,"Downregulated"
"TRINITY_DN10121_c0_g1_i10","RAZ_BM","RAZ_SM",-1.5719943750544,4.87114414365879,0.000105578136927077,0.0166659023410304,13.62,4.992,7.335,27.727,21.969,28.126,"Downregulated"
"TRINITY_DN9244_c0_g1_i3","RAZ_BM","RAZ_SM",3.23491381272763,0.918253818760812,0.000105687391740008,0.0166659023410304,2.298,1.479,3.942,0,0,0.837,"Upregulated"
"TRINITY_DN1885_c0_g1_i11","RAZ_BM","RAZ_SM",-1.50587340289704,2.8312887496826,0.000106450406068507,0.0167382618502121,5.188,2.711,5.716,15.296,9.667,13.649,"Downregulated"
"TRINITY_DN20770_c0_g2_i2","RAZ_BM","RAZ_SM",-2.11503359628938,2.90665524946346,0.00010772490947605,0.0168904064618373,0.634,2.195,2.255,10.225,9.373,2.797,"Downregulated"
"TRINITY_DN557_c0_g1_i11","RAZ_BM","RAZ_SM",2.6902224501805,0.771352648195186,0.0001081014751396,0.0169012971103203,15.357,20.053,6.863,4.694,0.578,1.113,"Upregulated"
"TRINITY_DN33708_c0_g1_i3","RAZ_BM","RAZ_SM",-2.00318547488344,2.64497776162011,0.000108657573483673,0.0169401158614744,37.42,4.916,33.282,121.28,90.708,83.499,"Downregulated"
"TRINITY_DN51197_c0_g1_i1","RAZ_BM","RAZ_SM",1.44119060253216,2.91109456281891,0.000109820590430229,0.0170471564267573,3.005,2.434,1.928,0.763,0.823,1.164,"Upregulated"
"TRINITY_DN97268_c0_g1_i1","RAZ_BM","RAZ_SM",-1.48130516450704,6.11331537242459,0.000110190341565118,0.0170471564267573,87.067,37.616,80.386,186.949,175.745,209.642,"Downregulated"
"TRINITY_DN8843_c0_g1_i3","RAZ_BM","RAZ_SM",-2.19851495388535,6.7127257496012,0.000110313742222372,0.0170471564267573,41.163,6.548,55.191,185.318,142.12,144.1,"Downregulated"
"TRINITY_DN14923_c0_g1_i1","RAZ_BM","RAZ_SM",-1.67717829020676,4.17725709599663,0.000110703048588058,0.0170471564267573,12.539,3.999,6.882,24.747,18.825,31.689,"Downregulated"
"TRINITY_DN868_c2_g1_i6","RAZ_BM","RAZ_SM",1.67462201689489,2.15717119767054,0.000110892938924648,0.0170471564267573,18.226,16.856,8.819,4.485,4.035,5.288,"Upregulated"
"TRINITY_DN710_c0_g2_i1","RAZ_BM","RAZ_SM",-2.34521629908619,0.6054166305991,0.000111905330060558,0.0171085882171876,1.944,0.248,1.166,6.566,4.329,6.564,"Downregulated"
"TRINITY_DN35356_c0_g1_i2","RAZ_BM","RAZ_SM",-1.78043571092231,2.11252383425659,0.000111914303125114,0.0171085882171876,0.624,0.697,0.839,3.44,2.831,1.235,"Downregulated"
"TRINITY_DN5294_c0_g1_i1","RAZ_BM","RAZ_SM",-1.54542683630924,6.88058952862161,0.000112845297316754,0.0172031249100561,51.498,23.098,63.866,140.591,136.243,128.215,"Downregulated"
"TRINITY_DN66238_c0_g1_i1","RAZ_BM","RAZ_SM",-2.0684682420589,1.08338417475876,0.000113580204260495,0.0172673286222986,2.048,0.697,2.622,6.597,9.883,6.411,"Downregulated"
"TRINITY_DN92806_c0_g2_i1","RAZ_BM","RAZ_SM",-3.06290822520446,0.123716949532182,0.000114481381539742,0.0173563866436864,1.289,0,6.072,29.358,16.093,18.08,"Downregulated"
"TRINITY_DN24218_c0_g1_i4","RAZ_BM","RAZ_SM",-2.00632902426726,2.90835136002904,0.000116290917470015,0.0175822921759473,1.061,0.859,2.477,9.546,5.818,2.593,"Downregulated"
"TRINITY_DN56021_c0_g1_i2","RAZ_BM","RAZ_SM",-1.62987548391811,1.90346042616545,0.000119353154092157,0.0179958396775555,0.489,0.706,1.07,2.75,1.998,2.328,"Downregulated"
"TRINITY_DN843_c1_g1_i3","RAZ_BM","RAZ_SM",-1.89624834163074,4.92120826828735,0.000119788288905791,0.0180121002503861,17.727,3.98,18.227,57.754,35.995,54.741,"Downregulated"
"TRINITY_DN3238_c2_g1_i2","RAZ_BM","RAZ_SM",-2.97296688376003,0.253956090349094,0.000121940259764483,0.0182857227680615,0.416,0.535,0,1.579,2.135,3.389,"Downregulated"
"TRINITY_DN9675_c0_g1_i3","RAZ_BM","RAZ_SM",-1.57900755732434,3.36930445796755,0.000122302524361564,0.0182902095807454,8.505,4.238,13.417,29.923,24.065,24.308,"Downregulated"
"TRINITY_DN4848_c0_g1_i6","RAZ_BM","RAZ_SM",-1.32666824365204,3.82798752111073,0.000123462463691989,0.0183746789227732,34.373,41.901,42.988,105.043,118.77,74.965,"Downregulated"
"TRINITY_DN2296_c0_g1_i2","RAZ_BM","RAZ_SM",-1.72836687997228,2.99555620482996,0.000123642844516303,0.0183746789227732,11.343,3.322,7.605,34.92,19.315,19.785,"Downregulated"
"TRINITY_DN7273_c0_g1_i1","RAZ_BM","RAZ_SM",-2.11245180126771,5.16297438673361,0.000123868987904729,0.0183746789227732,48.815,7.693,14.304,106.611,117.379,82.417,"Downregulated"
"TRINITY_DN86889_c0_g1_i1","RAZ_BM","RAZ_SM",-1.55394987848225,7.32680269370414,0.000124353444288554,0.0183969555187534,96.081,37.759,96.791,248.697,199.536,230.458,"Downregulated"
"TRINITY_DN92019_c0_g1_i1","RAZ_BM","RAZ_SM",-1.46686021312042,7.31593011074788,0.000128119562353013,0.0189033029344121,157.945,82.323,167.606,424.072,288.941,415.884,"Downregulated"
"TRINITY_DN351_c0_g2_i1","RAZ_BM","RAZ_SM",-1.8001293979749,5.28747968275659,0.000128654831204499,0.0189315240120545,10.189,2.673,9.725,32.014,18.58,28.381,"Downregulated"
"TRINITY_DN209_c0_g1_i4","RAZ_BM","RAZ_SM",-1.45887651868384,5.25157426241611,0.000129943132421389,0.0190701075991433,51.352,23.337,44.781,111.264,90.111,127.163,"Downregulated"
"TRINITY_DN13239_c0_g1_i6","RAZ_BM","RAZ_SM",-1.87802054970175,1.55661350556283,0.000130662271953931,0.0191246475391294,0.426,0.639,1.022,1.788,3.585,2.409,"Downregulated"
"TRINITY_DN1840_c0_g1_i6","RAZ_BM","RAZ_SM",-1.84428284113523,2.59586561199239,0.000133138091833738,0.019435336196228,2.62,0.907,3.036,11.145,4.457,7.973,"Downregulated"
"TRINITY_DN35204_c0_g1_i1","RAZ_BM","RAZ_SM",-3.25302703308112,0.444453856866836,0.000133588719301872,0.0194495279842837,0,0,0.867,4.412,2.635,1.327,"Downregulated"
"TRINITY_DN21936_c0_g1_i11","RAZ_BM","RAZ_SM",-1.61602658411121,2.60321612685074,0.000134680050860344,0.0195566805251931,0.645,0.84,1.667,4.015,3.183,2.583,"Downregulated"
"TRINITY_DN8854_c0_g1_i1","RAZ_BM","RAZ_SM",-1.64094422879442,6.06599335989047,0.000136425877389665,0.0197580572006916,27.179,9.583,28.858,76.427,51.177,77.578,"Downregulated"
"TRINITY_DN1594_c0_g1_i7","RAZ_BM","RAZ_SM",-1.28590336875976,8.76565162470019,0.000139296014164899,0.020120779116932,128.292,125.618,121.775,280.711,361.559,282.565,"Downregulated"
"TRINITY_DN27330_c0_g1_i2","RAZ_BM","RAZ_SM",-1.70057344601811,1.67014782812,0.000142044769289352,0.0204641147462571,0.489,0.468,0.26,1.14,1.714,1.143,"Downregulated"
"TRINITY_DN11825_c2_g1_i2","RAZ_BM","RAZ_SM",1.54272296726484,2.49373863701253,0.000143752491819717,0.0206210033122541,47.942,26.028,24.906,10.277,12.762,10.668,"Upregulated"
"TRINITY_DN31589_c0_g2_i1","RAZ_BM","RAZ_SM",-2.99566222862117,0.0926314795393412,0.000143883149905614,0.0206210033122541,0,1.346,0.636,5.604,6.631,4.441,"Downregulated"
"TRINITY_DN88744_c0_g1_i1","RAZ_BM","RAZ_SM",-1.92179063088526,0.926711293069949,0.000144354576359609,0.0206348305334409,1.799,1.308,2.728,7.183,8.081,7.248,"Downregulated"
"TRINITY_DN23699_c0_g1_i6","RAZ_BM","RAZ_SM",-2.38485009040539,0.346345794661093,0.00014483751280909,0.0206502271500918,0.967,0.735,0.974,6.033,4.319,3.828,"Downregulated"
"TRINITY_DN3832_c0_g1_i5","RAZ_BM","RAZ_SM",-1.42141650731989,3.68312465337528,0.000146038986977325,0.0207677250886566,5.49,2.539,4.781,14.041,9.981,10.525,"Downregulated"
"TRINITY_DN2546_c0_g1_i6","RAZ_BM","RAZ_SM",-1.92459907320486,1.66095885533035,0.000146588903780393,0.0207922003367272,2.329,0.678,1.398,6.482,3.477,6.942,"Downregulated"
"TRINITY_DN9061_c1_g1_i1","RAZ_BM","RAZ_SM",-1.94188505546504,4.78247660310284,0.000147616719406395,0.0208841607604409,22.728,4.811,17.687,75.235,32.93,65.746,"Downregulated"
"TRINITY_DN1118_c1_g1_i8","RAZ_BM","RAZ_SM",-1.89975349630045,3.76540456152386,0.000148124075106402,0.0209022060241172,25.037,6.443,39.721,107.971,76.496,80.11,"Downregulated"
"TRINITY_DN38908_c0_g1_i6","RAZ_BM","RAZ_SM",-1.64763398174932,4.27487548039667,0.000148798268819426,0.0209328352452504,2.922,0.907,2.651,8.092,5.093,7.228,"Downregulated"
"TRINITY_DN1149_c0_g1_i9","RAZ_BM","RAZ_SM",-1.55386613017153,3.6278754904571,0.000149101853692956,0.0209328352452504,1.955,1.699,3.557,10.121,6.337,4.9,"Downregulated"
"TRINITY_DN3500_c0_g1_i5","RAZ_BM","RAZ_SM",-1.56359739167271,2.86815209115876,0.000149654577559316,0.0209569720646296,28.031,12.647,16.636,61.665,37.621,68.482,"Downregulated"
"TRINITY_DN5036_c0_g1_i9","RAZ_BM","RAZ_SM",-2.82922482177763,1.87304238926822,0.000150399894173661,0.0209972697771643,0.312,1.241,0.617,8.824,6.308,0.735,"Downregulated"
"TRINITY_DN38075_c0_g3_i2","RAZ_BM","RAZ_SM",-1.73720714405802,1.35432807369095,0.000150705410509501,0.0209972697771643,0.665,1.184,1.051,2.593,3.712,3.502,"Downregulated"
